date,open,max_v,min_v,close,volume,crypto
2021-04-03,"382,69","422,30","362,25","373,95",432.592.545,kusama
2021-04-02,"393,77","394,80","358,83","383,00",462.618.841,kusama
2021-04-01,"423,24","432,50","384,56","393,91",537.027.504,kusama
2021-03-31,"461,30","476,06","406,99","424,19",468.941.600,kusama
2021-03-30,"465,55","471,70","443,32","461,14",339.507.950,kusama
2021-03-29,"434,36","480,91","431,75","465,57",488.098.737,kusama
2021-03-28,"398,17","441,02","397,34","435,10",354.328.723,kusama
2021-03-27,"385,14","427,87","380,78","400,11",471.886.944,kusama
2021-03-26,"349,79","385,11","345,78","385,11",303.301.841,kusama
2021-03-25,"359,17","367,16","316,95","350,47",481.393.720,kusama
2021-03-24,"357,35","412,98","352,43","359,79",402.009.670,kusama
2021-03-23,"367,72","379,84","352,66","357,42",298.304.622,kusama
2021-03-22,"337,06","384,86","335,33","367,74",346.460.592,kusama
2021-03-21,"326,99","347,29","320,84","336,88",233.588.341,kusama
2021-03-20,"322,22","343,94","318,97","326,75",207.516.428,kusama
2021-03-19,"308,56","353,24","300,72","322,10",305.980.741,kusama
2021-03-18,"289,01","326,74","287,93","308,91",355.762.369,kusama
2021-03-17,"267,57","290,17","261,27","289,46",194.823.736,kusama
2021-03-16,"260,32","280,43","245,60","267,47",217.739.727,kusama
